  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    634 root      20   0 1589592  40108  16128 S   0.0   0.2   0:02.03 snapd
    638 root      20   0  374424   7576   6616 S   0.0   0.0   0:00.29 systemd-logind
    639 root      20   0  393708  14388  10332 S   0.0   0.1   0:00.09 udisksd
    640 root      20   0   15056   9608   8456 S   0.0   0.1   0:00.20 wpa_supplicant
    641 avahi     20   0    7092    352      0 S   0.0   0.0   0:00.00 avahi-daemon
    663 root      20   0   22664  10408   9252 S   0.0   0.1   0:00.01 bluetoothd
    672 root      20   0  314788  12736   9008 S   0.0   0.1   0:00.04 ModemManager
    677 root      20   0   26976   8820   7296 S   0.0   0.1   0:00.01 cupsd
    696 root      20   0 1715300  54888  29228 S   0.0   0.3   0:03.20 containerd
    703 root      20   0  135960  15564  14224 S   0.0   0.1   0:00.02 sddm
    712 root      20   0  118720  23320  14412 S   0.0   0.1   0:00.07 unattended-upgr
    714 root      20   0   13292   7056   6160 S   0.0   0.0   0:00.00 sshd
    715 root      20   0  175048  11564  10056 S   0.0   0.1   0:00.08 cups-browsed
    741 root      20   0  965808 103892  67428 S   0.0   0.6   1:40.92 Xorg
    849 rtkit     21   1  153692   3068   2816 S   0.0   0.0   0:00.08 rtkit-daemon
    987 root      20   0   56068  14872  13652 S   0.0   0.1   0:00.10 sddm-helper
    989 henrik    20   0   15536   9092   7444 S   0.0   0.1   0:00.25 systemd
    990 henrik    20   0  167008   2976     24 S   0.0   0.0   0:00.00 (sd-pam)
   1009 henrik     9 -11   90992   5876   4812 S   0.0   0.0   0:00.05 pipewire
   1010 henrik     9 -11 1158272  28620  22084 S   0.0   0.2   0:01.24 pulseaudio
   1014 henrik    20   0    9008   5232   4028 S   0.0   0.0   0:00.83 dbus-daemon
   1015 henrik     9 -11   85300   6644   5540 S   0.0   0.0   0:00.61 pipewire-media-
   1018 henrik    20   0  281800  43264  38056 S   0.0   0.3   0:01.37 kwalletd5
   1019 henrik    20   0  144060  18316  16260 S   0.0   0.1   0:00.05 startplasma-x11
   1071 henrik    20   0    5964    468      0 S   0.0   0.0   0:00.02 ssh-agent
   1088 henrik    20   0  309508   8488   4820 S   0.0   0.1   0:37.77 ibus-daemon
   1093 henrik    20   0  159284   6120   5660 S   0.0   0.0   0:00.00 ibus-memconf
   1095 henrik    20   0  807044  89060  50156 S   0.0   0.6   0:09.19 ibus-ui-gtk3
   1096 henrik    20   0  731240  85064  43588 S   0.0   0.5   0:09.28 ibus-extension-
   1099 henrik    20   0  653572  80008  42500 S   0.0   0.5   0:01.53 ibus-x11
   1103 henrik    20   0  233088   6148   5656 S   0.0   0.0   0:00.13 ibus-portal
   1119 henrik    20   0  245388   9348   8268 S   0.0   0.1   0:00.00 gsettings-helpe
   1136 henrik    20   0    2228     88      0 S   0.0   0.0   0:00.00 start_kdeinit
   1138 henrik    20   0  110924  26836  23116 S   0.0   0.2   0:00.06 kdeinit5
   1143 henrik    20   0  307140   6560   5940 S   0.0   0.0   0:00.01 at-spi-bus-laun
   1148 henrik    20   0    8172   4324   3840 S   0.0   0.0   0:00.11 dbus-daemon
   1153 henrik    20   0  620436  14700  10752 S   0.0   0.1   0:00.41 xdg-desktop-por
   1155 henrik    20   0  165732   7616   6800 S   0.0   0.0   0:01.47 at-spi2-registr
   1166 henrik    20   0  528352   8244   5596 S   0.0   0.1   0:00.18 xdg-document-po
   1169 henrik    20   0  232788   6680   4216 S   0.0   0.0   0:00.00 xdg-permission-
   1170 henrik    20   0  279884  41572  36500 S   0.0   0.3   0:01.35 klauncher
   1185 root      20   0    2404   1724   1616 S   0.0   0.0   0:00.00 fusermount
   1191 henrik    20   0  551008  53736  22236 S   0.0   0.3   0:01.68 xdg-desktop-por
   1203 henrik    20   0  155880   5188   4684 S   0.0   0.0   0:00.00 dconf-service
   1401 henrik    20   0 1198784  88824  68756 S   0.0   0.6   0:06.04 kded5
   1481 henrik    20   0 3723960 188704 101936 S   0.0   1.2   1:47.15 kwin_x11
   1493 root      20   0  247044   8428   7268 S   0.0   0.1   0:00.83 upowerd
   1587 henrik    20   0  544864  35428  29256 S   0.0   0.2   0:01.38 kactivitymanage
   1589 henrik    20   0  280608  42780  36512 S   0.0   0.3   0:01.50 kglobalaccel5
   1615 henrik    20   0  284496  45544  39788 S   0.0   0.3   0:01.77 ksmserver
   1619 henrik    20   0    9464   3832   3496 S   0.0   0.0   0:00.00 xsettingsd
   1633 henrik    20   0  890388  98504  78568 S   0.0   0.6   0:01.61 polkit-kde-auth
   1635 henrik    20   0  235600  25276  20532 S   0.0   0.2   0:01.28 xembedsniproxy
   1638 henrik    20   0  280572  42132  37032 S   0.0   0.3   0:02.11 kaccess
   1644 henrik    20   0 2379480 247892 130768 S   0.0   1.5   0:25.36 plasmashell
   1653 henrik    20   0  361304  49308  43008 S   0.0   0.3   0:02.13 kdeconnectd
   1657 henrik    20   0  234388  23920  21208 S   0.0   0.1   0:01.25 gmenudbusmenupr
   1662 henrik    20   0  370008  51848  43648 S   0.0   0.3   0:02.53 DiscoverNotifie
   1702 root      20   0  363936  34496  18092 S   0.0   0.2   0:22.47 packagekitd
   1712 henrik    20   0  315280  59720  52808 S   0.0   0.4   0:01.65 korgac
   1722 henrik    20   0   45100   6720   6076 S   0.0   0.0   0:00.00 obexd
   1723 henrik    20   0  226840  21712  19044 S   0.0   0.1   0:01.40 kscreen_backend
   1725 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   1758 henrik    20   0  234028   4664   4228 S   0.0   0.0   0:00.00 agent
   1770 henrik    20   0 1258748  99140  46168 S   0.0   0.6   0:08.44 ulauncher
   1791 henrik    20   0 1152580  52536  43680 S   0.0   0.3   0:02.45 org_kde_powerde
   1872 henrik    20   0   13872   8192   5680 S   0.0   0.1   0:00.95 zsh
   1902 henrik    20   0    5964   2744   2268 S   0.0   0.0   0:00.46 ssh-agent
   1959 henrik    20   0  166688  65916  24720 S   0.0   0.4   0:00.77 python3
   1961 henrik    20   0  168212  67536  26660 S   0.0   0.4   0:00.81 python3
   1963 henrik    20   0  167856  67396  25112 S   0.0   0.4   0:00.80 python3
   1965 henrik    20   0  167432  65524  24968 S   0.0   0.4   0:00.79 python3
   1975 henrik    20   0  167116  65576  24848 S   0.0   0.4   0:00.74 python3
   2469 henrik    20   0  111224  17232  13500 S   0.0   0.1   0:00.03 file.so
   5735 root      20   0       0      0      0 I   0.0   0.0   0:02.92 kworker/u16:0-i915
   6407 root      20   0 1754568  92164  51528 S   0.0   0.6   0:01.86 dockerd
   6425 root      20   0  711448   9984   6292 S   0.0   0.1   0:00.33 containerd-shim
   6444 root      20   0  769892  44616  31636 S   0.0   0.3   0:00.89 docker-driver
   7929 henrik    20   0 1054452 113468  89472 S   0.0   0.7   0:33.07 konsole
   7944 henrik    20   0   13348   6780   4784 S   0.0   0.0   0:00.14 zsh
   8007 henrik    20   0    6992   3432   3076 S   0.0   0.0   0:00.00 tmux-client
   8009 henrik    20   0    8684   5144   3116 S   0.0   0.0   0:05.24 tmux-server
   8010 henrik    20   0   13872   7320   4992 S   0.0   0.0   0:02.05 zsh
   8120 root      20   0       0      0      0 I   0.0   0.0   0:00.26 kworker/3:2-events
  14531 root      20   0       0      0      0 I   0.0   0.0   0:00.22 kworker/4:1-mm_percpu_wq
  14963 root      20   0       0      0      0 I   0.0   0.0   0:00.42 kworker/0:0-mm_percpu_wq
  15450 root      20   0       0      0      0 I   0.0   0.0   0:00.20 kworker/1:0-events
  15814 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/2:2-events
  15829 root      20   0       0      0      0 I   0.0   0.0   0:02.79 kworker/5:2-events
  17341 root      20   0       0      0      0 I   0.0   0.0   0:01.30 kworker/u16:2-events_unbound
  18187 root      20   0       0      0      0 I   0.0   0.0   0:00.13 kworker/7:1-mm_percpu_wq
  18297 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:1-events
  18531 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker/2:1-events
  18551 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0
  19378 root      20   0       0      0      0 I   0.0   0.0   0:00.17 kworker/6:3-events
  20909 root       0 -20       0      0      0 I   0.0   0.0   0:00.53 kworker/u17:0-i915_flip
  20914 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6:0-events
  21058 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker/u16:3-i915
  21109 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/7:0-events
  21136 henrik    20   0  817304  47780  33572 S   0.0   0.3   0:00.36 npm
  21147 henrik    20   0    2428    596    516 S   0.0   0.0   0:00.00 sh
  21148 henrik    20   0  579180  34648  29072 S   0.0   0.2   0:00.11 node
  21155 henrik    20   0  957548 100636  32228 S   0.0   0.6   0:01.47 node
  21218 henrik    20   0 1049344 114052  88708 S   0.0   0.7   0:04.40 konsole
  21233 henrik    20   0   16356   9944   5100 S   0.0   0.1   0:00.69 zsh
  21748 mysql     20   0 1345156  97324  22724 S   0.0   0.6   0:00.35 mariadbd
  21751 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:2-events
  23005 root      20   0       0      0      0 I   0.0   0.0   0:00.11 kworker/3:0-events
  23496 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/4:2-kec_query
  23524 henrik    20   0  817564  49660  33396 S   0.0   0.3   0:00.31 npm
  23535 henrik    20   0    2428    532    452 S   0.0   0.0   0:00.00 sh
  23547 henrik    20   0  881388  44760  30676 S   0.0   0.3   0:10.54 node
  23560 henrik    20   0    2428    592    512 S   0.0   0.0   0:00.00 sh
  23561 henrik    20   0  886816  85340  37652 S   0.0   0.5   0:01.66 node
  23612 root      20   0       0      0      0 I   0.0   0.0   0:00.07 kworker/6:1-events
  23613 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/6:2-events
  23645 root      20   0       0      0      0 I   0.0   0.0   0:00.03 kworker/u16:1-i915
  23646 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/u16:4
  23654 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker/2:0-events
  23655 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/2:3-events
  23672 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u17:1
  23682 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:1-events
  23683 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/1:3-events
  23684 root      20   0       0      0      0 I   0.0   0.0   0:00.27 kworker/0:2-events
  23685 root      20   0       0      0      0 I   0.0   0.0   0:00.01 kworker/0:3-events
  23741 root      20   0   24412   5168   1712 S   0.0   0.0   0:00.01 systemd-udevd
  23746 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker/0:4
  23747 root      20   0   24280   5120   1712 S   0.0   0.0   0:00.13 systemd-udevd
  23760 henrik    20   0    6756   3200   2976 S   0.0   0.0   0:00.00 monitor_linux_r
  23762 henrik    20   0    6412    704    588 S   0.0   0.0   0:00.00 sed
