 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName
     12     1,29       6,12       0,02    7992   1 wslhost
      7     1,18       6,18       0,02    8148   1 wslhost
      7     1,21       6,19       0,03   12124   1 wslhost
     14     8,89      10,72       0,00    1144   0 WUDFHost
     17     9,70      21,36       0,00    1248   0 WUDFHost
      8     1,52       5,94       0,00    2460   0 WUDFHost
     48    28,96      15,03       1,55   11028   1 YourPhone
     15     3,15      15,18       0,00   13316   0 aesm_service
     25    28,77      35,41       0,52   15292   1 ApplicationFrameHost
      7     1,16       5,29       0,00    5004   0 ApsInsMonSvc
      8     1,52       6,53       0,00    4352   0 ApsInsSvc
      8     1,54       6,09       0,00    4464   0 armsvc
     12     7,85      13,77       0,62    6560   0 audiodg
      8     5,21       6,80       0,00    2012   1 bash
     10     5,30       8,05       0,03    2280   1 bash
      9     6,91       9,30       0,36   12324   1 bash
     28    22,52      15,97       0,84    3200   1 Calculator
     26    34,25      39,65       1,81    3832   1 com.docker.backend
     11    17,48      13,64       0,16    4124   1 com.docker.dev-envs
     13    22,26      20,29       0,52    6608   1 com.docker.proxy
     48    49,32      67,98       0,00    5676   0 com.docker.service
     10    18,70      14,89       0,16    1680   1 com.docker.wsl-distro-proxy
      9     6,52      12,23       0,03    1892   1 conhost
      9     6,52      12,23       0,03    2056   1 conhost
      8     6,18      10,44       0,02    3292   1 conhost
      7     6,20      10,37       0,02    3760   1 conhost
      9     6,54      12,23       0,03    4020   1 conhost
      7     6,07       9,46       0,00    4092   0 conhost
      7     6,20      10,28       0,02    4792   1 conhost
      7     6,20      10,45       0,02    5112   1 conhost
      9     6,52      12,23       0,08    7188   1 conhost
      7     6,20      10,35       0,05    7296   1 conhost
      7     6,20      10,45       0,02    7364   1 conhost
      7     6,16       9,82       0,05    8256   1 conhost
      7     6,20      10,44       0,03    9532   1 conhost
      7     6,19      10,45       0,06   10316   1 conhost
     10     6,60      13,18       0,00   10424   0 conhost
     10     6,54      12,24       0,03   10604   1 conhost
      7     6,20      10,41       0,03   11712   1 conhost
      9     6,53      12,26       0,08   12928   1 conhost
      8     6,21      10,45       0,03   12940   1 conhost
     48    30,75      78,10       1,75   13752   1 Cortana
     30     1,96       4,77       0,00     756   0 csrss
     24     2,55       5,41       0,00     864   1 csrss
     16     4,16      19,73       1,86    8244   1 ctfmon
     17    25,80      25,29       0,00    4340   0 CxAudioSvc
     10     1,80       8,40       0,00    4488   0 CxAudMsg64
      8     1,44       6,08       0,00    4400   0 CxUIUSvc64
      9     1,37       6,93       0,00    4436   0 CxUtilSvc
     17     4,14      12,70       0,00    6124   0 dasHost
      6     0,91       4,48       0,00    6800   0 dasHost
     11     5,93      14,28       0,00    4496   0 DAX3API
     11     2,45      10,59       0,00    6156   1 DAX3API
     11     2,36      11,06       0,06    3360   1 DisplayLinkTrayApp
     16     3,11      10,48       0,00    8064   0 dllhost
     18     3,34       9,01      11,84    8444   1 dllhost
      7     1,34       6,62       0,02    9416   1 dllhost
     32     7,80      15,98       0,11   10756   1 dllhost
     11    23,91      24,27       0,05    6076   1 docker
     75    99,86     126,50       4,45   12276   1 DockerDesktop
      8     1,46       5,18       2,64    4832   1 dptf_helper
     39    59,35      95,05       0,00    1368   1 dwm
     13     1,95       9,35       0,00    4716   0 EasyResume
